data_cid,title,address,website,phone,rating,image,category,timing,description,profiles
10673270440120167582,Universitas Djuanda,:,http://www.unida.ac.id/,(0251) 8240773,"Diberi rating 5,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipO0DK2MZ8Fw2tfILUBc2X_v_z9id8CJSAV-I3qW=w260-h175-n-k-no,,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>08.00–17.00</td></tr><tr><td>Selasa</td><td>08.00–17.00</td></tr><tr><td>Rabu</td><td>08.00–17.00</td></tr><tr><td>Kamis</td><td>08.00–17.00</td></tr><tr><td>Jumat</td><td>08.00–17.00</td></tr><tr><td>Sabtu</td><td>08.00–17.00</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>",,
18053576484941108711,Universitas Bung Karno,:,http://www.ubk.ac.id/,(021) 3929591,"Diberi rating 1,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipMRHjTHV-MuCpB_-8LexpDDWT7_UTfrGHvfVWmV=w260-h175-n-k-no,,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>09.00–22.00</td></tr><tr><td>Selasa</td><td>09.00–22.00</td></tr><tr><td>Rabu</td><td>09.00–22.00</td></tr><tr><td>Kamis</td><td>09.00–22.00</td></tr><tr><td>Jumat</td><td>09.00–22.00</td></tr><tr><td>Sabtu</td><td>09.00–22.00</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>",,
7276171320311913728,Universitas Islam Jakarta,:,http://www.uid.ac.id/,(021) 8566451,"Diberi rating 4,5 dari 5,",https://lh5.googleusercontent.com/p/AF1QipMmeieDs2-4Lc38X69Q0mPp3h94t8yz7RTpoKn8=w260-h175-n-k-no,Fakultas di Jakarta Timur,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>08.30–15.00</td></tr><tr><td>Selasa</td><td>08.30–15.00</td></tr><tr><td>Rabu</td><td>08.30–15.00</td></tr><tr><td>Kamis</td><td>08.30–15.00</td></tr><tr><td>Jumat</td><td>08.30–15.00</td></tr><tr><td>Sabtu</td><td>08.30–15.00</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>",,
12484664480084953193,Universitas Terbuka,:,http://www.ut.ac.id/,(021) 7490941,"Diberi rating 4,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipM7dB-gM7O8Qsu8IWpm9B1Ph1Uhmaha9rxCgHxW=w260-h175-n-k-no,,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>08.00–16.00</td></tr><tr><td>Selasa</td><td>08.00–16.00</td></tr><tr><td>Rabu</td><td>08.00–16.00</td></tr><tr><td>Kamis</td><td>08.00–16.00</td></tr><tr><td>Jumat</td><td>08.00–17.00</td></tr><tr><td>Sabtu</td><td>Tutup</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>",,
17946199086600728350,Institut Kesenian Jakarta,:,http://ikj.ac.id/,0812-1300-1173,"Diberi rating 5,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipMeru9brFzLhgPPxuZOBDINxGBQVY1OcodM31uJ=w260-h175-n-k-no,,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>08.00–16.00</td></tr><tr><td>Selasa</td><td>08.00–16.00</td></tr><tr><td>Rabu</td><td>08.00–16.00</td></tr><tr><td>Kamis</td><td>08.00–16.00</td></tr><tr><td>Jumat</td><td>08.00–16.00</td></tr><tr><td>Sabtu</td><td>Tutup</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>","""Pada masa Pandemi Covid-19 kita mengikuti Arahan Mendikbud dan Gugus tugas Covid-19, sehingga memberlakukan blended learning buat yang mau Ujian Akhir dan PJJ untuk perkuliahan biasa dan bekerja dari rumah Kecuali Selasa Kamis kantor beroperasi dari jam 9.00 hingga 15.00. Semua informasi dapat melalui WebSite IKJ atau menghubungi nomer selular yang tertera pada jam kerja saja 09.00-15.00 Senin hingga Jumat atau email info@ikj.ac.id . Khusus civitas akademik wajib setiap harinya membuka SIAKIKJ untuk perkuliahan berjalan.

Instagram : @institutkesenianjakarta dan untuk internal civitas akademik @infoikj (syarat berlaku)""",
14313204635621145212,STIE Bisnis Indonesia,:,http://stiebi.ac.id/,(021) 5307009,"Diberi rating 5,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipNZwjvmlf26JyTa6jQjb9kLcnW6lscR8hLCW7Ql=w260-h175-n-k-no,,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>09.00–17.00</td></tr><tr><td>Selasa</td><td>09.00–17.00</td></tr><tr><td>Rabu</td><td>09.00–17.00</td></tr><tr><td>Kamis</td><td>09.00–17.00</td></tr><tr><td>Jumat</td><td>09.00–17.00</td></tr><tr><td>Sabtu</td><td>09.00–17.00</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>",,
16246445497166217574,"Universitas Pembangunan Nasional ""Veteran"" Jakarta",:,https://www.upnvj.ac.id/,(021) 7656971,"Diberi rating 5,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipNTkS57431avU8PDUhT8Dq2uSNgBkpkbw9vkblU=w260-h175-n-k-no,,,,
3980376774037287670,Fakultas Keguruan dan Ilmu Pendidikan UHAMKA,:,https://fkip.uhamka.ac.id/,(021) 8400341,"Diberi rating 5,0 dari 5,",https://lh5.googleusercontent.com/p/AF1QipNJkYbBalYoN18x3GHItVpY1Z68cFl84oPlQpoG=w260-h175-n-k-no,,"<table><tbody><tr class=""K7Ltle""><td>Senin</td><td>08.00–16.00</td></tr><tr><td>Selasa</td><td>08.00–16.00</td></tr><tr><td>Rabu</td><td>08.00–16.00</td></tr><tr><td>Kamis</td><td>08.00–16.00</td></tr><tr><td>Jumat</td><td>08.00–16.00</td></tr><tr><td>Sabtu</td><td>08.00–16.00</td></tr><tr><td>Minggu</td><td>Tutup</td></tr></tbody></table>",,
8483239229131619594,Universitas Gunadarma Kampus F2,:,http://www.gunadarma.ac.id/,,"Diberi rating 5,0 dari 5,",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AdBPcBo4bAwUuSTcSJVLQQ&cb_client=search.gws-prod.gps&yaw=140.7002&pitch=0&thumbfov=100&w=260&h=175,,,,
6614054858521033288,Universitas Gunadarma Kampus F2,:,http://www.gunadarma.ac.id/,,"Diberi rating 5,0 dari 5,",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AdBPcBo4bAwUuSTcSJVLQQ&cb_client=search.gws-prod.gps&yaw=140.7002&pitch=0&thumbfov=100&w=260&h=175,,,,
